showSelected1	ymin	ymax	xmin	xmax
1	0	0	0.55	1.45
1	0	0	1.55	2.45
1	0	0	2.55	3.45
1	0	0	3.55	4.45
1	0	0	4.55	5.45
1	0	0	5.55	6.45
1	0	0	6.55	7.45
1	0	0	7.55	8.45
2	0	0	0.55	1.45
2	0	0	1.55	2.45
2	0	0	2.55	3.45
2	0	0	3.55	4.45
2	0	0	4.55	5.45
2	0	0	5.55	6.45
2	0	0	6.55	7.45
2	0	0	7.55	8.45
3	0	0	0.55	1.45
3	0	0	1.55	2.45
3	0	0	2.55	3.45
3	0	0	3.55	4.45
3	0	0	4.55	5.45
3	0	0	5.55	6.45
3	0	0	6.55	7.45
3	0	0	7.55	8.45
4	0	0	0.55	1.45
4	0	0	1.55	2.45
4	0	0	2.55	3.45
4	0	0	3.55	4.45
4	0	0	4.55	5.45
4	0	0	5.55	6.45
4	0	0	6.55	7.45
4	0	0	7.55	8.45
5	0	0	0.55	1.45
5	0	0	1.55	2.45
5	0	0	2.55	3.45
5	0	0	3.55	4.45
5	0	0	4.55	5.45
5	0	0	5.55	6.45
5	0	0	6.55	7.45
5	0	0	7.55	8.45
6	0	0	0.55	1.45
6	0	0	1.55	2.45
6	0	0	2.55	3.45
6	0	0	3.55	4.45
6	0	0	4.55	5.45
6	0	0	5.55	6.45
6	0	0	6.55	7.45
6	0	0	7.55	8.45
7	0	0	0.55	1.45
7	0	0	1.55	2.45
7	0	0	2.55	3.45
7	0	0	3.55	4.45
7	0	0	4.55	5.45
7	0	0	5.55	6.45
7	0	0	6.55	7.45
7	0	0	7.55	8.45
8	0	0	0.55	1.45
8	0	0	1.55	2.45
8	0	0	2.55	3.45
8	0	0	3.55	4.45
8	0	0	4.55	5.45
8	0	0	5.55	6.45
8	0	0	6.55	7.45
8	0	0	7.55	8.45
9	0	0	0.55	1.45
9	0	0	1.55	2.45
9	0	0	2.55	3.45
9	0	1	3.55	4.45
9	0	0	4.55	5.45
9	0	0	5.55	6.45
9	0	0	6.55	7.45
9	0	0	7.55	8.45
10	0	0	0.55	1.45
10	0	0	1.55	2.45
10	0	0	2.55	3.45
10	0	2	3.55	4.45
10	0	0	4.55	5.45
10	0	0	5.55	6.45
10	0	0	6.55	7.45
10	0	0	7.55	8.45
11	0	0	0.55	1.45
11	0	0	1.55	2.45
11	0	0	2.55	3.45
11	0	2	3.55	4.45
11	0	0	4.55	5.45
11	0	1	5.55	6.45
11	0	0	6.55	7.45
11	0	0	7.55	8.45
