colour	x	y	showSelected1	showSelected2	fill
#0D3A6B	2	0.363380227632419	1	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	2	miss	#0D3A6B
#4283C9	3	0.273239544735163	2	hit	#4283C9
#0D3A6B	2	0.363380227632419	3	miss	#0D3A6B
#4283C9	3	0.273239544735163	3	hit	#4283C9
#4283C9	4	0.909859317102744	3	hit	#4283C9
#0D3A6B	2	0.363380227632419	4	miss	#0D3A6B
#4283C9	3	0.273239544735163	4	hit	#4283C9
#4283C9	4	0.909859317102744	4	hit	#4283C9
#4283C9	5	1.54647908947033	4	hit	#4283C9
#0D3A6B	2	0.363380227632419	5	miss	#0D3A6B
#4283C9	3	0.273239544735163	5	hit	#4283C9
#4283C9	4	0.909859317102744	5	hit	#4283C9
#4283C9	5	1.54647908947033	5	hit	#4283C9
#0D3A6B	6	0.591549430918953	5	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	6	miss	#0D3A6B
#4283C9	3	0.273239544735163	6	hit	#4283C9
#4283C9	4	0.909859317102744	6	hit	#4283C9
#4283C9	5	1.54647908947033	6	hit	#4283C9
#0D3A6B	6	0.591549430918953	6	miss	#0D3A6B
#4283C9	7	0.909859317102744	6	hit	#4283C9
#0D3A6B	2	0.363380227632419	7	miss	#0D3A6B
#4283C9	3	0.273239544735163	7	hit	#4283C9
#4283C9	4	0.909859317102744	7	hit	#4283C9
#4283C9	5	1.54647908947033	7	hit	#4283C9
#0D3A6B	6	0.591549430918953	7	miss	#0D3A6B
#4283C9	7	0.909859317102744	7	hit	#4283C9
#0D3A6B	8	0.485446135524357	7	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	8	miss	#0D3A6B
#4283C9	3	0.273239544735163	8	hit	#4283C9
#4283C9	4	0.909859317102744	8	hit	#4283C9
#4283C9	5	1.54647908947033	8	hit	#4283C9
#0D3A6B	6	0.591549430918953	8	miss	#0D3A6B
#4283C9	7	0.909859317102744	8	hit	#4283C9
#0D3A6B	8	0.485446135524357	8	miss	#0D3A6B
#4283C9	9	0.69765272631355	8	hit	#4283C9
#0D3A6B	2	0.363380227632419	9	miss	#0D3A6B
#4283C9	3	0.273239544735163	9	hit	#4283C9
#4283C9	4	0.909859317102744	9	hit	#4283C9
#4283C9	5	1.54647908947033	9	hit	#4283C9
#0D3A6B	6	0.591549430918953	9	miss	#0D3A6B
#4283C9	7	0.909859317102744	9	hit	#4283C9
#0D3A6B	8	0.485446135524357	9	miss	#0D3A6B
#4283C9	9	0.69765272631355	9	hit	#4283C9
#4283C9	10	0.909859317102744	9	hit	#4283C9
#0D3A6B	2	0.363380227632419	10	miss	#0D3A6B
#4283C9	3	0.273239544735163	10	hit	#4283C9
#4283C9	4	0.909859317102744	10	hit	#4283C9
#4283C9	5	1.54647908947033	10	hit	#4283C9
#0D3A6B	6	0.591549430918953	10	miss	#0D3A6B
#4283C9	7	0.909859317102744	10	hit	#4283C9
#0D3A6B	8	0.485446135524357	10	miss	#0D3A6B
#4283C9	9	0.69765272631355	10	hit	#4283C9
#4283C9	10	0.909859317102744	10	hit	#4283C9
#0D3A6B	11	0.591549430918953	10	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	11	miss	#0D3A6B
#4283C9	3	0.273239544735163	11	hit	#4283C9
#4283C9	4	0.909859317102744	11	hit	#4283C9
#4283C9	5	1.54647908947033	11	hit	#4283C9
#0D3A6B	6	0.591549430918953	11	miss	#0D3A6B
#4283C9	7	0.909859317102744	11	hit	#4283C9
#0D3A6B	8	0.485446135524357	11	miss	#0D3A6B
#4283C9	9	0.69765272631355	11	hit	#4283C9
#4283C9	10	0.909859317102744	11	hit	#4283C9
#0D3A6B	11	0.591549430918953	11	miss	#0D3A6B
#4283C9	12	0.750704374010849	11	hit	#4283C9
#0D3A6B	2	0.363380227632419	12	miss	#0D3A6B
#4283C9	3	0.273239544735163	12	hit	#4283C9
#4283C9	4	0.909859317102744	12	hit	#4283C9
#4283C9	5	1.54647908947033	12	hit	#4283C9
#0D3A6B	6	0.591549430918953	12	miss	#0D3A6B
#4283C9	7	0.909859317102744	12	hit	#4283C9
#0D3A6B	8	0.485446135524357	12	miss	#0D3A6B
#4283C9	9	0.69765272631355	12	hit	#4283C9
#4283C9	10	0.909859317102744	12	hit	#4283C9
#0D3A6B	11	0.591549430918953	12	miss	#0D3A6B
#4283C9	12	0.750704374010849	12	hit	#4283C9
#0D3A6B	13	0.527887453682195	12	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	13	miss	#0D3A6B
#4283C9	3	0.273239544735163	13	hit	#4283C9
#4283C9	4	0.909859317102744	13	hit	#4283C9
#4283C9	5	1.54647908947033	13	hit	#4283C9
#0D3A6B	6	0.591549430918953	13	miss	#0D3A6B
#4283C9	7	0.909859317102744	13	hit	#4283C9
#0D3A6B	8	0.485446135524357	13	miss	#0D3A6B
#4283C9	9	0.69765272631355	13	hit	#4283C9
#4283C9	10	0.909859317102744	13	hit	#4283C9
#0D3A6B	11	0.591549430918953	13	miss	#0D3A6B
#4283C9	12	0.750704374010849	13	hit	#4283C9
#0D3A6B	13	0.527887453682195	13	miss	#0D3A6B
#4283C9	14	0.655211408155712	13	hit	#4283C9
#0D3A6B	2	0.363380227632419	14	miss	#0D3A6B
#4283C9	3	0.273239544735163	14	hit	#4283C9
#4283C9	4	0.909859317102744	14	hit	#4283C9
#4283C9	5	1.54647908947033	14	hit	#4283C9
#0D3A6B	6	0.591549430918953	14	miss	#0D3A6B
#4283C9	7	0.909859317102744	14	hit	#4283C9
#0D3A6B	8	0.485446135524357	14	miss	#0D3A6B
